LINEUPS,GP,W,L,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
,,,,,,,,,,,,
R. Jackson - Z. Nnaji - J. Strawther - C. Braun - P. Watson,17,13,4,86,49.1,0.172,11.9,26.8,52,0.259,8.2,33.6
D. Jordan - R. Jackson - J. Murray - C. Braun - P. Watson,16,11,5,81,58.3,0.246,16.9,33.3,54.7,0.349,7.6,25.5
R. Jackson - J. Murray - Z. Nnaji - C. Braun - P. Watson,16,13,3,63,50,0.133,20.5,33.3,46.5,0.221,13.8,33.8
D. Jordan - R. Jackson - J. Strawther - C. Braun - P. Watson,10,6,4,43,49.4,0.135,9.8,30.8,48.7,0.367,8.1,25.9
D. Jordan - J. Murray - M. Porter Jr. - C. Braun - P. Watson,10,7,3,26,50,0.216,7.7,37.9,45.7,0.298,6,23.7
R. Jackson - K. Caldwell-Pope - Z. Nnaji - C. Braun - P. Watson,10,8,2,7,54.2,0.583,13.3,50,43.3,0.4,15.8,41.7
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - P. Watson,9,5,4,21,57.1,0.057,12.5,15.8,35.9,0.154,16.7,35.7
R. Jackson - A. Gordon - J. Murray - C. Braun - P. Watson,9,7,2,8,57.7,0.154,21.1,42.9,61.5,0.692,20,12.5
J. Holiday - J. Murray - Z. Nnaji - C. Braun - P. Watson,7,6,1,50,60.3,0.218,9.1,20.9,45.9,0.418,11.5,39.4
R. Jackson - M. Porter Jr. - Z. Nnaji - C. Braun - P. Watson,7,5,2,32,52.4,0.129,9.7,31.4,55,0.42,12.9,21.1
R. Jackson - J. Holiday - Z. Nnaji - C. Braun - P. Watson,7,4,3,14,34.6,0.346,17.9,50,61.9,0.333,19.2,21.4
D. Jordan - R. Jackson - M. Porter Jr. - C. Braun - P. Watson,6,4,2,12,45.5,0.227,8,35.7,36.4,0.091,20.8,22.2
D. Jordan - R. Jackson - K. Caldwell-Pope - M. Porter Jr. - P. Watson,6,3,3,7,66.7,0.417,18.8,50,67.9,0.143,0,20
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - C. Braun,6,3,3,1,0,0,0,0,100,2,0,0
J. Murray - M. Porter Jr. - Z. Nnaji - C. Braun - P. Watson,5,4,1,23,44.1,0.255,6.7,46.9,48.9,0.295,12.5,27
D. Jordan - R. Jackson - J. Holiday - C. Braun - P. Watson,5,3,2,10,41.2,0.471,15.8,38.5,47.5,0.15,9.5,23.5
J. Murray - Z. Nnaji - J. Strawther - C. Braun - P. Watson,5,4,1,10,55.3,0.105,9.1,10,50,0.19,17.4,38.5
Z. Nnaji - J. Strawther - C. Braun - P. Watson - C. Gillespie,5,3,2,7,59.1,0.182,0,33.3,60.7,0.071,0,42.9
D. Jordan - R. Jackson - J. Murray - M. Porter Jr. - P. Watson,5,2,3,5,50,0.286,33.3,50,59.1,0.455,0,42.9
R. Jackson - K. Caldwell-Pope - A. Gordon - M. Porter Jr. - P. Watson,5,4,1,3,100,1,0,0,16.7,1,12.5,40
K. Caldwell-Pope - A. Gordon - J. Murray - C. Braun - P. Watson,5,3,2,1,0,0,20,25,150,3.5,16.7,0
D. Jordan - R. Jackson - J. Holiday - J. Strawther - C. Braun,4,2,2,21,48.7,0.051,22.7,41.7,50,0.175,11.4,25
R. Jackson - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,4,3,1,16,46.4,0.429,11.1,23.5,52.8,0.25,11.1,47.8
J. Pickett - Z. Nnaji - J. Strawther - C. Braun - P. Watson,4,2,2,8,57.7,0.154,21.1,0,50,0.833,9.5,0
R. Jackson - M. Porter Jr. - Z. Nnaji - J. Strawther - P. Watson,4,3,1,8,68.8,0.125,16.7,50,87.5,0.417,26.3,20
R. Jackson - J. Holiday - A. Gordon - M. Porter Jr. - C. Braun,4,2,2,5,61.1,0,9.1,25,65,0.2,0,20
R. Jackson - A. Gordon - J. Murray - Z. Nnaji - C. Braun,4,3,1,4,50,0.091,0,66.7,75,0.333,28.6,40
D. Jordan - R. Jackson - A. Gordon - C. Braun - P. Watson,4,2,2,2,50,1,20,0,60,0.4,0,100
A. Gordon - J. Murray - M. Porter Jr. - Z. Nnaji - C. Braun,4,3,1,1,33.3,0,33.3,50,33.3,0,0,0
R. Jackson - K. Caldwell-Pope - A. Gordon - M. Porter Jr. - C. Braun,3,1,2,17,52.9,0.294,10.3,22.2,37.9,0.379,20,30.4
R. Jackson - J. Holiday - M. Porter Jr. - Z. Nnaji - C. Braun,3,1,2,12,44.4,0,4,31.3,91.7,0.333,8,9.1
D. Jordan - R. Jackson - J. Holiday - J. Strawther - P. Watson,3,2,1,11,80.6,0.222,20,0,38.6,0.273,12.5,26.7
J. Holiday - J. Murray - M. Porter Jr. - Z. Nnaji - P. Watson,3,3,0,11,55,0,21.1,45.5,70.5,0.136,9.5,21.4
D. Jordan - K. Caldwell-Pope - J. Murray - C. Braun - P. Watson,3,2,1,9,46.7,0.267,18.8,44.4,55.9,0.471,5.3,45.5
J. Holiday - Z. Nnaji - B. Key - J. Huff - C. Gillespie,3,2,1,9,57.7,0.615,20,28.6,80,0.8,28.6,0
J. Holiday - A. Gordon - J. Murray - C. Braun - P. Watson,3,2,1,8,61.5,0.154,6.3,0,59.4,0.188,6.7,33.3
R. Jackson - K. Caldwell-Pope - A. Gordon - J. Murray - P. Watson,3,2,1,8,65.4,0.231,0,33.3,38.5,0.308,7.1,18.2
D. Jordan - M. Porter Jr. - J. Strawther - C. Braun - P. Watson,3,3,0,6,40,0.2,15.4,0,36.7,0.133,0,50
D. Jordan - R. Jackson - M. Porter Jr. - J. Strawther - P. Watson,3,3,0,5,60,0.3,36.4,66.7,27.8,0.111,18.2,9.1
R. Jackson - M. Porter Jr. - Z. Nnaji - J. Strawther - C. Braun,3,1,2,5,41.7,0.167,9.1,50,81.3,0.75,10,12.5
R. Jackson - A. Gordon - Z. Nnaji - J. Strawther - C. Braun,3,1,2,4,35.7,0.286,12.5,40,93.8,0,0,25
R. Jackson - J. Murray - M. Porter Jr. - Z. Nnaji - C. Braun,3,2,1,4,70,0,50,50,68.8,0.75,10,40
R. Jackson - A. Gordon - J. Murray - M. Porter Jr. - P. Watson,3,1,2,3,112.5,0.25,16.7,0,50,0,0,0
R. Jackson - K. Caldwell-Pope - A. Gordon - C. Braun - P. Watson,3,2,1,3,33.3,0,0,50,30,0,28.6,16.7
D. Jordan - R. Jackson - K. Caldwell-Pope - A. Gordon - M. Porter Jr.,3,2,1,2,33.3,0.667,20,33.3,50,0,0,33.3
D. Jordan - R. Jackson - K. Caldwell-Pope - C. Braun - P. Watson,3,3,0,2,50,0,33.3,0,64.3,0,0,100
R. Jackson - A. Gordon - J. Strawther - C. Braun - P. Watson,3,1,2,2,0,0.5,20,50,83.3,0.667,0,0
R. Jackson - K. Caldwell-Pope - A. Gordon - J. Murray - C. Braun,3,2,1,2,75,0,0,33.3,0,0,0,0
D. Jordan - R. Jackson - J. Holiday - K. Caldwell-Pope - P. Watson,3,2,1,1,50,0,0,0,100,1,0,0
R. Jackson - K. Caldwell-Pope - A. Gordon - M. Porter Jr. - Z. Nnaji,3,2,1,1,150,0,50,0,100,1,0,100
