LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,10,3,7,0.6,2.1,0.7,0.8,87.5,0.5,0.5,100,0.2,0.3,66.7,0,0.1,0.1,0.7,0.2,0.1,0.1,0.1,0.2,0.3,0.5
J. Murray - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,9,7,2,6.6,14.9,5,12.6,39.8,2.3,5.6,42,2.6,3.8,67.6,2.2,3.9,6.1,2,1.4,0.9,0.3,0.8,2.8,2.7,-0.4
J. Green - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,5,2,6.8,14.7,5,10.9,46.1,1.7,4.7,36.4,3,3.9,77.8,0.9,5,5.9,2.9,1.7,0.7,0.4,0.6,4,2.6,-1.6
J. Green - D. Jordan - B. Brown - B. Hyland - C. Braun,7,6,1,3.6,7.6,2.7,5.6,48.7,0.7,2.3,31.3,1.4,2.3,62.5,0.3,2.7,3,1.6,1.1,0.1,0.7,0.7,1.9,1.4,-1.7
J. Green - A. Gordon - J. Murray - B. Brown - M. Porter Jr.,7,5,2,2.7,6.4,2.6,5.1,50,0.4,1.9,23.1,0.9,1.3,66.7,0.6,1.9,2.4,1.4,0.6,0.1,0.4,0.1,0.9,1.3,-0.6
I. Smith - V. Cancar - D. Reed - Z. Nnaji - C. Braun,7,6,1,2.6,4,1.1,3.6,32,0.3,1.4,20,1.4,1.6,90.9,0.3,2.3,2.6,0.9,1.4,0.3,0.3,0.1,1.1,1,-1
A. Gordon - J. Murray - B. Brown - Z. Nnaji - C. Braun,7,4,3,0.5,0.7,0.3,1.3,22.2,0.1,0.6,25,0,0,0,0.1,0.6,0.7,0.1,0,0,0,0,0,0.1,0.1
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - C. Braun,6,5,1,4.1,7.7,2.8,6.8,41.5,0.7,2.7,25,1.3,1.8,72.7,0.5,2.8,3.3,2,1.7,0.5,0.7,0,2.7,1.5,-2.7
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,6,2,4,3.9,7.3,2.7,7.7,34.8,0.8,3.3,25,1.2,1.3,87.5,1.7,2.8,4.5,1.2,1.3,0.7,0,0.3,1.3,1.7,-1
K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr. - Z. Nnaji,6,5,1,3.6,8.8,3.3,6.8,48.8,0.5,2,25,1.7,2.2,76.9,1.2,2.2,3.3,1.8,0.7,0.8,0.3,0.3,2,1.3,2
J. Green - D. Jordan - K. Caldwell-Pope - B. Brown - B. Hyland,6,5,1,2.5,6.2,2,4,50,0.8,1.8,45.5,1.3,1.5,88.9,0.3,1.8,2.2,1.7,1.2,0.3,0.5,0.2,1,0.8,1.2
J. Green - K. Caldwell-Pope - A. Gordon - B. Brown - C. Braun,6,3,3,2.2,5,1.7,3,55.6,0.5,1,50,1.2,1.8,63.6,0,1.5,1.5,1.5,1,0.5,0.3,0,1.8,1,-0.8
J. Green - D. Jordan - J. Murray - B. Hyland - C. Braun,5,4,1,5.9,13.6,5.2,11,47.3,1.2,3.8,31.6,2,2.2,90.9,1.8,4.2,6,3.2,1.4,0.2,0.8,0.4,2.2,1.4,-1
D. Jordan - K. Caldwell-Pope - A. Gordon - J. Murray - M. Porter Jr.,5,3,2,5.8,14.2,5.2,8.8,59.1,1.8,3.8,47.4,2,2.6,76.9,0.6,3.6,4.2,3,2.6,1,0,0,1.6,2,-1
K. Caldwell-Pope - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,5,4,1,4.7,13.2,4.8,9.4,51.1,2,4.8,41.7,1.6,1.8,88.9,1.4,3.6,5,2.8,1,1.2,0.6,0.2,1.6,1.8,6
V. Cancar - B. Brown - Z. Nnaji - B. Hyland - C. Braun,5,4,1,3.6,6.2,2.6,7,37.1,0.6,3.8,15.8,0.4,0.4,100,1,2.8,3.8,1.2,0.8,0,0.2,0.6,1.8,0.6,-1.6
J. Green - R. Jackson - J. Murray - T. Bryant - B. Brown,5,3,2,3,4,1.4,4.8,29.2,0.6,1.6,37.5,0.6,0.8,75,0.4,2.6,3,0.8,0.6,0.2,0,0.6,2.2,0.8,-3
I. Smith - V. Cancar - Z. Nnaji - C. Braun - P. Watson,5,1,4,2.8,4.6,1.8,4.4,40.9,0.2,1,20,0.8,1.6,50,0.2,2.4,2.6,1.2,1.4,0.2,0.6,0.2,1.8,1,-1.4
J. Green - K. Caldwell-Pope - B. Brown - Z. Nnaji - B. Hyland,5,3,2,1.9,3,1,3.2,31.3,0,0.6,0,1,1,100,0.2,0.6,0.8,0.4,0,0.2,0,0.4,0.6,1,-1.2
J. Green - A. Gordon - B. Brown - M. Porter Jr. - C. Braun,5,2,3,1.1,3.4,1,2,50,0.8,1,80,0.6,0.8,75,0.6,0.4,1,0.8,0.6,0.2,0.2,0.2,0.4,0.4,0.6
J. Green - D. Jordan - K. Caldwell-Pope - B. Hyland - C. Braun,5,5,0,0.9,0.4,0.2,1.4,14.3,0,1,0,0,0,0,0,0.4,0.4,0.2,0.2,0,0,0,0,0,-1.8
J. Green - D. Jordan - B. Brown - M. Porter Jr. - B. Hyland,4,3,1,6.8,13.8,5.3,13.3,39.6,1.5,4,37.5,1.8,2,87.5,2,5.3,7.3,2.8,2.8,0.8,1,0.8,2.8,2.8,-2
K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown - Z. Nnaji,4,2,2,6.7,12.8,5,12.5,40,1.3,4.3,29.4,1.5,4.3,35.3,2,5.5,7.5,2,1.3,0.5,0.8,1,2.3,4,-0.3
J. Green - D. Jordan - M. Porter Jr. - B. Hyland - C. Braun,4,4,0,5.7,17.8,6.8,12,56.3,2.8,5.3,52.4,1.5,2.3,66.7,2,5.3,7.3,3,1.5,0,0.5,0.5,3,2.3,3.8
J. Green - J. Murray - B. Brown - Z. Nnaji - B. Hyland,4,1,3,4.8,9.8,3.5,7.3,48.3,1.8,3.8,46.7,1,1,100,0.5,3.8,4.3,2.3,1.3,1,0.8,0.3,1.8,1,-0.5
D. Jordan - J. Murray - V. Cancar - B. Brown - B. Hyland,4,4,0,4.4,9.3,3.8,7.3,51.7,1,2.5,40,0.8,0.8,100,0.3,1.5,1.8,2.3,2,1.3,0.5,0.3,3.3,0.5,-3.3
J. Green - D. Jordan - J. Murray - B. Brown - B. Hyland,4,2,2,2.9,5.3,2.3,5.3,42.9,0.8,2,37.5,0,0,0,0.3,1.5,1.8,1.5,0.8,0.5,0,0.3,0.8,0.5,-2.5
J. Green - A. Gordon - J. Murray - B. Brown - C. Braun,4,2,2,2.4,3.8,1.5,3,50,0,0.5,0,0.8,1.5,50,0,1.3,1.3,1.3,0.5,0.3,0.3,0.3,1.3,1.5,-0.3
