LINEUPS,GP,W,L,MIN,EFG%,FTA,TOV%,OREB%,OPP,OPP,OPP,OPP
,,,,,,RATE,,,EFG%,FTA?RATE,TOV%,OREB%
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,48,35,13,364,54.4,0.247,12.4,26.5,53.9,0.242,13,17.3
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,42,33,9,826,59.7,0.222,11.9,30.8,54.5,0.203,12.7,20.2
R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,32,27,5,71,60.9,0.33,15.4,19,50.4,0.281,11,32.6
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun,28,19,9,45,66.3,0.25,11.9,30.3,45.1,0.136,18.6,21
R. Jackson - N. Jokic - J. Murray - C. Braun - P. Watson,25,20,5,30,52.5,0.2,11.6,35.3,40.4,0.263,5.8,20
R. Jackson - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - P. Watson,19,17,2,30,50,0.218,9.4,28.1,53.6,0.455,6.3,29.4
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - P. Watson,19,15,4,15,36,0.28,9.7,23.5,68.8,0.125,20,18.2
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - C. Braun,18,14,4,24,64.3,0.245,9.3,34.8,54.3,0.106,14,21.9
K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,15,14,1,62,65.6,0.217,12.8,18,53.8,0.178,13.3,30.4
R. Jackson - N. Jokic - M. Porter Jr. - C. Braun - P. Watson,15,10,5,21,28.6,0.2,22.7,30.8,26.3,0.2,4.7,16.2
R. Jackson - N. Jokic - J. Strawther - C. Braun - P. Watson,13,8,5,29,58.9,0.214,9.5,37,49.1,0.321,11.1,26.3
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - P. Watson,12,8,4,12,56.7,0.467,20.7,20,41.4,0.207,9.7,35
A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - C. Braun,11,8,3,24,57,0.06,9.6,37.5,58,0.341,5.9,12.5
R. Jackson - A. Gordon - N. Jokic - M. Porter Jr. - C. Braun,11,9,2,11,52.3,0.136,0,38.5,52.5,0.2,5,23.5
R. Jackson - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,11,7,4,7,72.2,0.333,31.3,0,67.9,0.286,0,20
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - C. Braun,10,4,6,36,40.6,0.232,10.5,36.2,50,0.09,16,15.1
R. Jackson - J. Holiday - N. Jokic - C. Braun - P. Watson,10,8,2,18,56.4,0.154,10.3,42.1,63.6,0.091,12.2,26.1
N. Jokic - J. Murray - M. Porter Jr. - C. Braun - P. Watson,10,7,3,12,59.6,0.423,14.3,54.5,63,0.13,14.3,21.1
R. Jackson - J. Holiday - A. Gordon - N. Jokic - C. Braun,10,6,4,8,70,0.333,5.6,16.7,56.7,0.133,12.5,25
K. Caldwell-Pope - N. Jokic - J. Murray - C. Braun - P. Watson,10,6,4,7,68.8,0,8.3,0,27.8,0.056,0,53.8
R. Jackson - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,9,5,4,12,69,0.524,7.1,22.2,18.4,0.632,8.3,20
R. Jackson - A. Gordon - N. Jokic - C. Braun - P. Watson,9,6,3,10,52.5,0.1,18.2,54.5,75,0.222,4.8,16.7
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray,9,9,0,2,66.7,1.333,16.7,0,60,0.8,0,50
J. Holiday - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,8,5,3,66,54.3,0.194,8.6,30.3,50.4,0.111,13.5,24.1
R. Jackson - J. Holiday - A. Gordon - N. Jokic - M. Porter Jr.,8,4,4,39,55.6,0.194,7.3,16.7,61.6,0.288,3.7,14.6
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - J. Strawther,7,4,3,10,60.5,0.158,5,20,79.4,0.353,0,0
J. Holiday - N. Jokic - J. Murray - C. Braun - P. Watson,7,6,1,8,52.8,0.111,5,18.2,50,0.308,19,20
A. Gordon - N. Jokic - J. Murray - C. Braun - P. Watson,7,4,3,7,55.6,0.444,18.8,20,50,0.5,18.8,50
R. Jackson - A. Gordon - N. Jokic - J. Strawther - C. Braun,7,3,4,2,0,0.5,0,40,33.3,0,20,0
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - C. Gillespie,6,4,2,40,57.4,0.16,8.8,37.2,48.6,0.338,14.3,21.8
R. Jackson - A. Gordon - N. Jokic - M. Porter Jr. - P. Watson,6,3,3,7,54.2,0.5,0,66.7,50,0,0,9.1
J. Holiday - A. Gordon - N. Jokic - J. Murray - P. Watson,5,2,3,15,66,0.32,20.6,15.4,59.7,0.161,11.8,20
K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun - P. Watson,5,4,1,11,64.6,0.083,4.2,30,42.5,0.35,4.2,7.1
J. Holiday - A. Gordon - N. Jokic - J. Murray - C. Braun,5,3,2,9,50,0.05,10.5,33.3,60,0.2,20,18.2
A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,5,4,1,8,70.6,0,10.5,37.5,37.5,0.583,15.8,8.3
R. Jackson - J. Holiday - K. Caldwell-Pope - A. Gordon - N. Jokic,5,1,4,3,50,0.8,11.1,14.3,71.4,0.143,33.3,33.3
R. Jackson - J. Holiday - K. Caldwell-Pope - N. Jokic - M. Porter Jr.,4,4,0,35,75,0.235,12.3,38.5,63.5,0.238,12.7,25
K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson - C. Gillespie,4,3,1,9,78.6,0.643,14.3,20,40,0.267,10,10
N. Jokic - M. Porter Jr. - C. Braun - P. Watson - C. Gillespie,4,2,2,7,42.9,0.071,13.3,25,50,0.308,0,10
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Pickett - C. Braun,4,2,2,6,105.6,0.222,21.4,0,38.5,0,0,11.1
R. Jackson - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun,4,3,1,6,70.8,0,0,16.7,36.4,0.455,7.1,25
R. Jackson - K. Caldwell-Pope - N. Jokic - Z. Nnaji - C. Braun,4,2,2,5,18.2,0,0,33.3,50,0.083,10,50
K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun - C. Gillespie,4,3,1,4,91.7,1,0,50,50,0.071,0,85.7
R. Jackson - A. Gordon - N. Jokic - J. Murray - P. Watson,4,3,1,3,75,0,16.7,100,33.3,0.5,0,33.3
R. Jackson - A. Gordon - N. Jokic - J. Murray - C. Braun,4,3,1,2,112.5,0,0,0,0,0,20,33.3
K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun - P. Watson,4,3,1,1,100,0,0,0,33.3,0.667,0,50
J. Holiday - K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr.,3,2,1,22,70.9,0.093,4.8,35.3,64.3,0.229,14,14.3
K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - J. Pickett,3,1,2,15,50,0.231,11.1,40,57.4,0.074,12,33.3
J. Holiday - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,3,2,1,8,69.2,0.692,11.1,16.7,25,0.333,29.4,20
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - J. Strawther,3,2,1,8,75,0.25,27.8,40,53.1,0.188,16.7,27.3
